Platform,Remerciement,Feedback
Google Avis ,"Merci au livreur pour la réception, et pour les produits de qualité ! Bon courage !",
Google Avis ,"Cette organisation m’as vraiment aider, sans aucune contrepartie !",
Google Avis ,Livraison au top ! Pannier bien rempli ! Merci infiniment,
Google Avis ,"Très très belle initiative. Force à vous, on est ensemble",
Google Avis ,Ils sont vraiment très fort et merci à eux tous pour ces actions ,
Google Avis ,Super service. Le livreur Bilel est super sympa et professionnel.,
Google Avis ,"bravo pour ce que vous faites, je vous découvre avec youtube. plein de soutien, et venez dans l’Ouest ",
Google Avis ,"Très bon service, hormis le fait que je suis végétarienne, et que le panier contenait de la viande",
Google Avis ,C'était parfait ! Merci Vicent !,
Google Avis ,Merci infiniment pour tout ce que vous faites et le mal que vous vous donnez !,
Google Avis ,Vous aidez tellement de gens ! Continuez comme ca !!,
Google Avis ,"J'ai reçu mon colis aujourd'hui, le livreur est trop sympa et super professionnel je recommande.",
Google Avis ,Je suis super satisfaite de mon expérience tout est parfait c’est une action incroyable :),
Google Avis ,"Meilleure association de France pour les étudiants, je recommande à 100%",
Google Avis ,"Je vous donne un 5 étoiles, du Canada! Je vous es connu sur la vidéo de McFly et Carlito !!",
Google Avis ,Je m’attendais à plus de salée et moins de produit d’hygiène mais à part c’est top merci beaucoup pour votre générosité,
Google Avis ,Très bon service et panier merci aux bénévoles et à l’association d’aider les étudiants,
Google Avis ,"Accueil chaleureux, personnel aimable et très accueillant. Bref, je recommande pour les étudiants dans le besoin",
Google Avis ,"Un kit qui aide beaucoup, merci pour ce que vous faites !",
Google Avis ,"Très pratique, merci beaucoup",
Google Avis ,Troop satisfait j’ai reçu un sac plein (vraiment plein) de tout !!!,
Google Avis ,Je recommande fortement. Les livreurs sont très sympathiques et gentils.,
Google Avis ,Kit livré dans de bonnes conditions ! Merci pour ce que vous faites :),
Google Avis ,Parfait! Des personnes extraordinaires et tellement gentils. Merci d’aider les étudiants dans ses moments durs.,
Google Avis ,Le kit m'aide énormément avec toutes sorte de produits et je l'ai remercie .,
Google Avis ,"Il y’a un peu de tout dans le panier et les bénévoles sont agréables , je recommande",
Google Avis ,"Livreur au top, kit complet avec vraiment toute sorte de course (conserve, sucré, salé, hygiène, …)",
